span_id,decks,start_piers,end_piers,plan_length_m,sampled_min_clearance_m,deck_top_z_min,deck_top_z_max,flags,real_world_verified
SPAN_MODEL_000,DECK_48776359,UNVERIFIED_Pier_017|UNVERIFIED_Pier_016,UNVERIFIED_Pier_020|UNVERIFIED_Pier_021,70.37093708072666,5.41999626159668,7.999992370605469,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_001,DECK_48776359,UNVERIFIED_Pier_020|UNVERIFIED_Pier_021,UNVERIFIED_Pier_037|UNVERIFIED_Pier_036,281.4826572130047,5.41999626159668,7.999992370605469,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_002,DECK_48776359,UNVERIFIED_Pier_037|UNVERIFIED_Pier_036,UNVERIFIED_Pier_042|UNVERIFIED_Pier_043,105.55634369128813,5.599996566772461,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_003,DECK_48776359,UNVERIFIED_Pier_042|UNVERIFIED_Pier_043,UNVERIFIED_Pier_048|UNVERIFIED_Pier_049,105.55630907681996,,7.9999847412109375,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_004,DECK_48776359,UNVERIFIED_Pier_048|UNVERIFIED_Pier_049,UNVERIFIED_Pier_055|UNVERIFIED_Pier_054,105.55669497420786,,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_005,DECK_48776359,UNVERIFIED_Pier_055|UNVERIFIED_Pier_054,UNVERIFIED_Pier_061|UNVERIFIED_Pier_060,105.55587964744257,,7.999992370605469,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_006,DECK_48776359,UNVERIFIED_Pier_061|UNVERIFIED_Pier_060,UNVERIFIED_Pier_066|UNVERIFIED_Pier_067,105.55634423214656,,7.999992370605469,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_007,DECK_48776360,UNVERIFIED_Pier_674,UNVERIFIED_Pier_074|UNVERIFIED_Pier_075,70.49715074643642,5.599998474121094,7.999992370605469,8.000015258789062,ambiguous_pier_to_deck_assignment|long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_008,DECK_48776360,UNVERIFIED_Pier_074|UNVERIFIED_Pier_075,UNVERIFIED_Pier_078|UNVERIFIED_Pier_079,70.5641070698635,5.599994659423828,7.999992370605469,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_009,DECK_48776360,UNVERIFIED_Pier_078|UNVERIFIED_Pier_079,UNVERIFIED_Pier_082|UNVERIFIED_Pier_083,70.56379313772305,5.599994659423828,7.999992370605469,8.000007629394531,long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
